Genome	BioSample	env_broad_scale	env_local_scale	env_medium	isolation_source
MGYG000298242	SAMEA8395150	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298155	SAMN14570611	human oral	human oral	saliva	saliva
MGYG000298534	SAMN10134573	NA	NA	NA	supragingival plaque isolated from 88 juvenile twins
MGYG000298071	SAMN14571080	human oral	human oral	saliva	saliva
MGYG000298410	SAMN14602645	NA	NA	NA	dental plaque
MGYG000299147	SAMEA8395106	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298689	SAMEA8395193	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298076	SAMEA8395169	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298417	SAMEA8395119	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298624	SAMEA8395273	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298183	SAMEA9943389	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000299064	SAMEA9921394	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000298237	SAMEA10220495	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298541	SAMEA10110242	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298933	SAMEA10110190	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298078	SAMEA9943353	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000299259	SAMEA8395200	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298817	SAMEA8395189	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298999	SAMEA8395203	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298948	SAMEA8395232	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298230	SAMEA9943318	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298651	SAMN14602668	NA	NA	NA	tongue scraping
MGYG000298127	SAMEA8395279	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299089	SAMN14570615	human oral	human oral	saliva	saliva
MGYG000298279	SAMN14571050	human oral	human oral	saliva	saliva
MGYG000298321	SAMN14571017	human oral	human oral	saliva	saliva
MGYG000298457	SAMEA8395161	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298573	SAMEA8395250	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298888	SAMEA8395307	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299023	SAMEA10220456	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298202	SAMEA9943325	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298508	SAMEA8395165	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298326	SAMN14602671	NA	NA	NA	tongue scraping
MGYG000298796	SAMEA8395291	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298092	SAMEA10110146	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299175	SAMEA8395176	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298043	SAMEA8395234	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298506	SAMEA9943406	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298974	SAMEA9921419	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000299080	SAMEA9943376	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298749	SAMEA8395108	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299109	SAMN14570601	human oral	human oral	saliva	saliva
MGYG000298328	SAMEA9943382	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298160	SAMEA8395283	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298038	SAMEA10110240	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298732	SAMN14602655	NA	NA	NA	dental plaque
MGYG000298886	SAMEA8395210	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299265	SAMN14570654	human oral	human oral	saliva	saliva
MGYG000298425	SAMEA8395114	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298857	SAMEA10220501	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298266	SAMEA8395247	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298171	SAMN14602633	NA	NA	NA	dental plaque
MGYG000298393	SAMEA9640651	human	oral cavity	saliva	human saliva metagenome
MGYG000298055	SAMEA8395214	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298342	SAMEA8395085	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298433	SAMEA8395212	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298394	SAMEA9943366	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000299273	SAMEA9921447	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000298052	SAMEA10110178	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298083	SAMEA9943388	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000299164	SAMEA10110150	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298919	SAMEA8395141	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298965	SAMN14570632	human oral	human oral	saliva	saliva
MGYG000298213	SAMEA9943307	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298917	SAMEA10220450	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299201	SAMEA9943370	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298787	SAMEA8395160	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298020	SAMEA8395254	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298337	SAMN14570756	human oral	human oral	saliva	saliva
MGYG000298490	SAMN14570728	human oral	human oral	saliva	saliva
MGYG000298178	SAMEA9921423	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000298751	SAMEA8395139	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299111	SAMN14570596	human oral	human oral	saliva	saliva
MGYG000298899	SAMEA8395278	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298675	SAMEA9921416	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000298562	SAMN14570608	human oral	human oral	saliva	saliva
MGYG000298473	SAMN14570582	human oral	human oral	saliva	saliva
MGYG000298379	SAMN14570635	human oral	human oral	saliva	saliva
MGYG000298136	SAMEA8391434	human-associated habitat	human oral cavity	saliva	Human saliva
MGYG000298221	SAMEA9921387	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000298069	SAMEA8395170	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298302	SAMEA8395162	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298474	SAMEA10220438	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298806	SAMEA10110237	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298370	SAMEA8391431	human-associated habitat	human oral cavity	saliva	Human saliva
MGYG000298067	SAMEA8391433	human-associated habitat	human oral cavity	saliva	Human saliva
MGYG000298874	SAMN14602663	NA	NA	NA	tongue scraping
MGYG000299246	SAMN14602650	NA	NA	NA	dental plaque
MGYG000298808	SAMEA8395171	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299075	SAMEA9943348	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298144	SAMEA8395301	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298377	SAMEA9943399	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298716	SAMEA10110248	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298401	SAMEA10110243	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298138	SAMEA8395185	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298559	SAMEA10220498	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298972	SAMEA8395180	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299057	SAMN14570890	human oral	human oral	saliva	saliva
MGYG000298617	SAMEA8395207	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298039	SAMN14602638	NA	NA	NA	dental plaque
MGYG000299173	SAMEA9943342	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298733	SAMN14570982	human oral	human oral	saliva	saliva
MGYG000298094	SAMEA10220506	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298352	SAMEA8394107	human-associated habitat	human oral cavity	saliva	Human saliva
MGYG000298383	SAMEA10110249	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298424	SAMN14570575	human oral	human oral	saliva	saliva
MGYG000298045	SAMEA10110208	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298093	SAMN14602654	NA	NA	NA	dental plaque
MGYG000299174	SAMN14570604	human oral	human oral	saliva	saliva
MGYG000298851	SAMN14570694	human oral	human oral	saliva	saliva
MGYG000299081	SAMN14602651	NA	NA	NA	dental plaque
MGYG000299050	SAMEA8395143	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298329	SAMEA10110175	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298799	SAMEA8395205	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299022	SAMEA10220520	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299211	SAMEA9943421	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298823	SAMEA8395311	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298030	SAMEA8394101	human-associated habitat	human oral cavity	saliva	Human saliva
MGYG000298619	SAMEA9921426	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000299101	SAMEA8395204	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298824	SAMN14570808	human oral	human oral	saliva	saliva
MGYG000299216	SAMEA9943354	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298113	SAMEA9943418	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298665	SAMEA9943315	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000299025	SAMN14570622	human oral	human oral	saliva	saliva
MGYG000298858	SAMEA8395265	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298463	SAMN14570663	human oral	human oral	saliva	saliva
MGYG000298811	SAMN14570662	human oral	human oral	saliva	saliva
MGYG000299223	SAMN14571046	human oral	human oral	saliva	saliva
MGYG000298315	SAMEA10220458	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299134	SAMN14602673	NA	NA	NA	tongue scraping
MGYG000298596	SAMEA10110164	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299010	SAMEA10220473	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298547	SAMEA9873877	Human oral metagenome	Human oral cavity	Subgingival plaque	human oral metagenome
MGYG000299199	SAMEA8395233	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298369	SAMN14571069	human oral	human oral	saliva	saliva
MGYG000299148	SAMN14570568	human oral	human oral	saliva	saliva
MGYG000298236	SAMN14570673	human oral	human oral	saliva	saliva
MGYG000298591	SAMEA8395309	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299017	SAMEA9921385	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000298932	SAMN14570895	human oral	human oral	saliva	saliva
MGYG000298079	SAMEA8395125	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299258	SAMEA10110181	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298418	SAMN14602656	NA	NA	NA	dental plaque
MGYG000298773	SAMN14570907	human oral	human oral	saliva	saliva
MGYG000298659	SAMN14602637	NA	NA	NA	dental plaque
MGYG000299190	SAMEA8395091	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298077	SAMEA8395198	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298864	SAMEA8395274	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299256	SAMEA8395299	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298360	SAMEA8395191	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298991	SAMEA10220468	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298182	SAMEA8395228	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298153	SAMEA8395129	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299062	SAMEA8395224	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298154	SAMEA8395148	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298292	SAMEA10220475	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298947	SAMN14602641	NA	NA	NA	dental plaque
MGYG000298128	SAMN14571030	human oral	human oral	saliva	saliva
MGYG000298070	SAMN14602634	NA	NA	NA	dental plaque
MGYG000299251	SAMN14570723	human oral	human oral	saliva	saliva
MGYG000298524	SAMEA9640649	human	oral cavity	saliva	human saliva metagenome
MGYG000298956	SAMEA8395149	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299073	SAMEA8395286	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298376	SAMN14570676	human oral	human oral	saliva	saliva
MGYG000299240	SAMEA9943416	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298400	SAMN14570729	human oral	human oral	saliva	saliva
MGYG000298139	SAMEA8395154	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298558	SAMN14570796	human oral	human oral	saliva	saliva
MGYG000298371	SAMN14571072	human oral	human oral	saliva	saliva
MGYG000298066	SAMEA10110186	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298875	SAMEA8395244	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299008	SAMEA8395097	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298142	SAMN14570724	human oral	human oral	saliva	saliva
MGYG000298523	SAMEA8395287	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298193	SAMEA8395304	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298068	SAMN14602653	NA	NA	NA	dental plaque
MGYG000299249	SAMEA10110183	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298697	SAMEA10220524	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298923	SAMEA10110160	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298551	SAMEA8395088	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298646	SAMEA9943356	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298303	SAMEA10110188	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299235	SAMN14602662	NA	NA	NA	tongue scraping
MGYG000298475	SAMEA8395173	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298013	SAMN14570735	human oral	human oral	saliva	saliva
MGYG000298378	SAMEA8395251	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299188	SAMEA8391137	human-associated habitat	human oral cavity	subgingival plaque	Human Oral Subgingival Plaque
MGYG000298690	SAMEA8395126	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298137	SAMEA8395272	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298556	SAMEA8395303	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299001	SAMN14570584	human oral	human oral	saliva	saliva
MGYG000299207	SAMEA9943334	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298750	SAMEA9921441	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000298496	SAMEA8395300	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298608	SAMN14602669	NA	NA	NA	tongue scraping
MGYG000298849	SAMN14570710	human oral	human oral	saliva	saliva
MGYG000298563	SAMEA9640639	human	oral cavity	saliva	human saliva metagenome
MGYG000298102	SAMN14571089	human oral	human oral	saliva	saliva
MGYG000299033	SAMEA10220462	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298673	SAMEA8395246	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298105	SAMEA9943420	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000299200	SAMEA10220437	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298832	SAMEA8395293	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298021	SAMN14570687	human oral	human oral	saliva	saliva
MGYG000298757	SAMEA10110212	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298432	SAMEA8395241	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298840	SAMEA10220502	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299272	SAMEA8395276	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298053	SAMEA8395231	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298725	SAMEA10220463	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298344	SAMEA8395202	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298918	SAMEA10110211	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298788	SAMEA8395151	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298759	SAMEA8395262	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298338	SAMN14571033	human oral	human oral	saliva	saliva
MGYG000299041	SAMEA9921408	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000298964	SAMEA8395225	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298177	SAMEA9921399	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000298449	SAMEA8395248	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298028	SAMEA8395227	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298267	SAMEA10110169	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298963	SAMEA8395138	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298392	SAMEA8395260	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298054	SAMEA8395222	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298085	SAMEA8395115	human-associated habitat	human oral cavity	not provided	not provided
