Genome	BioSample	env_broad_scale	env_local_scale	env_medium	isolation_source
MGYG000298896	SAMEA8395296	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299153	SAMEA10110210	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298404	SAMEA8395181	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298065	SAMN14570857	human oral	human oral	saliva	saliva
MGYG000298478	SAMEA8395258	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298952	SAMEA10110170	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298190	SAMEA8395280	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298256	SAMEA8395271	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299128	SAMEA8395235	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298309	SAMEA8395236	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298146	SAMEA8391139	human-associated habitat	human oral cavity	subgingival plaque	Human Oral Subgingival Plaque
MGYG000298197	SAMEA10110202	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299070	SAMEA10110221	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298714	SAMN14571027	human oral	human oral	saliva	saliva
MGYG000298375	SAMEA9943387	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298403	SAMN14570589	human oral	human oral	saliva	saliva
MGYG000298929	SAMN14570734	human oral	human oral	saliva	saliva
MGYG000299126	SAMEA8395130	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299231	SAMEA9921436	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000298471	SAMEA8395281	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298803	SAMEA8395157	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298148	SAMN14570640	human oral	human oral	saliva	saliva
MGYG000298927	SAMEA9921378	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000298555	SAMEA8395155	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298134	SAMEA10110205	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298642	SAMEA9921405	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000298584	SAMEA8395147	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298133	SAMN14570606	human oral	human oral	saliva	saliva
MGYG000298645	SAMEA10220441	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298476	SAMEA10110244	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299236	SAMEA9921425	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000299079	SAMEA8395175	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298728	SAMN14570855	human oral	human oral	saliva	saliva
MGYG000299168	SAMEA8395197	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298211	SAMEA8395261	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298670	SAMN14570671	human oral	human oral	saliva	saliva
MGYG000298106	SAMEA9921404	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000298915	SAMN14570699	human oral	human oral	saliva	saliva
MGYG000298022	SAMN14570798	human oral	human oral	saliva	saliva
MGYG000298785	SAMEA8395295	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298831	SAMEA8395196	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298443	SAMEA8395100	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298754	SAMN14571090	human oral	human oral	saliva	saliva
MGYG000299114	SAMEA10110149	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298969	SAMN14570664	human oral	human oral	saliva	saliva
MGYG000298059	SAMEA8395282	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298438	SAMEA8395242	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298088	SAMEA8395259	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298101	SAMEA10110215	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298605	SAMEA9943407	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000299094	SAMEA10110151	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298173	SAMEA8395187	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298960	SAMN14570610	human oral	human oral	saliva	saliva
MGYG000298512	SAMEA10110239	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298895	SAMN14570959	human oral	human oral	saliva	saliva
MGYG000298218	SAMEA10110214	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298050	SAMEA8395172	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298843	SAMN14602670	NA	NA	NA	tongue scraping
MGYG000298347	SAMEA9921434	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000298892	SAMEA8395182	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298726	SAMEA9943347	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000299042	SAMEA10220480	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299177	SAMN14570775	human oral	human oral	saliva	saliva
MGYG000298090	SAMEA8395158	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298041	SAMN14570677	human oral	human oral	saliva	saliva
MGYG000298852	SAMEA10220449	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298165	SAMEA8395285	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298976	SAMN14602681	NA	NA	NA	tongue scraping
MGYG000298504	SAMEA10110201	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298503	SAMEA8395269	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299054	SAMEA8395277	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299028	SAMEA10110218	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298046	SAMEA8395111	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298380	SAMN14570700	human oral	human oral	saliva	saliva
MGYG000298484	SAMEA8395188	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298742	SAMEA8395132	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298793	SAMEA8394103	human-associated habitat	human oral cavity	saliva	Human saliva
MGYG000299215	SAMEA8395081	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298455	SAMEA8395288	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298571	SAMN14602649	NA	NA	NA	dental plaque
MGYG000298207	SAMEA8395253	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298117	SAMEA8395123	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298576	SAMN14570620	human oral	human oral	saliva	saliva
MGYG000298200	SAMEA9943350	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298661	SAMEA8395099	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298358	SAMEA8395179	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299179	SAMEA10220448	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298389	SAMEA9640646	human	oral cavity	saliva	human saliva metagenome
MGYG000298745	SAMN14602644	NA	NA	NA	dental plaque
MGYG000299105	SAMN14570614	human oral	human oral	saliva	saliva
MGYG000298452	SAMEA8395089	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299212	SAMEA8395267	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298654	SAMEA10220453	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298543	SAMEA8395257	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298685	SAMEA10110154	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298628	SAMN14570660	human oral	human oral	saliva	saliva
MGYG000299068	SAMEA9943303	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298467	SAMN14570670	human oral	human oral	saliva	saliva
MGYG000299227	SAMN14570595	human oral	human oral	saliva	saliva
MGYG000298770	SAMEA8395095	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298538	SAMEA8395164	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298159	SAMN14570924	human oral	human oral	saliva	saliva
MGYG000299137	SAMEA8395124	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298777	SAMEA10220452	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298125	SAMN14570658	human oral	human oral	saliva	saliva
MGYG000298621	SAMEA9640647	human	oral cavity	saliva	human saliva metagenome
MGYG000298536	SAMEA8395305	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298944	SAMEA9943314	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298779	SAMN14602647	NA	NA	NA	dental plaque
MGYG000298860	SAMEA8395216	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299252	SAMEA8395217	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299145	SAMEA10220469	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299193	SAMEA8395292	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298702	SAMEA8395239	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298363	SAMEA8395159	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298181	SAMEA10110159	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298626	SAMEA9943316	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298943	SAMEA8395289	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298531	SAMEA10110152	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298296	SAMN14570590	human oral	human oral	saliva	saliva
MGYG000299270	SAMEA9640650	human	oral cavity	saliva	human saliva metagenome
MGYG000298842	SAMEA8395174	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298893	SAMN14570835	human oral	human oral	saliva	saliva
MGYG000298346	SAMEA8395110	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299167	SAMN14570631	human oral	human oral	saliva	saliva
MGYG000298080	SAMN14570706	human oral	human oral	saliva	saliva
MGYG000298727	SAMN14570725	human oral	human oral	saliva	saliva
MGYG000298568	SAMEA9943339	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000299043	SAMEA10110216	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299092	SAMEA8391445	human-associated habitat	human oral cavity	saliva	Human saliva
MGYG000298514	SAMEA8395238	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298966	SAMEA8395306	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298265	SAMEA8395256	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298961	SAMN14570780	human oral	human oral	saliva	saliva
MGYG000298513	SAMEA8395145	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298437	SAMEA8395255	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298341	SAMEA10110200	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299160	SAMN14570661	human oral	human oral	saliva	saliva
MGYG000298678	SAMEA8395094	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298024	SAMEA10110142	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299205	SAMEA8395113	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298445	SAMEA10110165	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298837	SAMEA9943320	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298494	SAMEA8395127	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298333	SAMEA8395101	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298089	SAMN14570602	human oral	human oral	saliva	saliva
MGYG000298676	SAMEA8395209	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298348	SAMEA8395243	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299031	SAMEA8395167	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298023	SAMEA10220440	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298830	SAMEA8395199	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299202	SAMEA9943327	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298334	SAMN14571065	human oral	human oral	saliva	saliva
MGYG000299004	SAMEA8395208	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298225	SAMEA8395153	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298582	SAMN14570593	human oral	human oral	saliva	saliva
MGYG000298760	SAMEA10110192	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299120	SAMEA8395290	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298301	SAMEA8395121	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299237	SAMEA8391429	human-associated habitat	human oral cavity	saliva	Human saliva
MGYG000298692	SAMEA8395090	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299003	SAMEA8395218	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298222	SAMEA8395206	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298769	SAMEA8395120	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299129	SAMEA8391534	human-associated habitat	human oral cavity	saliva	Human saliva
MGYG000298526	SAMEA9943408	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298985	SAMN14570850	human oral	human oral	saliva	saliva
MGYG000298402	SAMEA8395223	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298063	SAMEA8395192	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298405	SAMN14570627	human oral	human oral	saliva	saliva
MGYG000298479	SAMEA10110194	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298953	SAMEA8395284	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299076	SAMEA8395144	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298636	SAMEA8395163	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298866	SAMEA9921410	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000299192	SAMEA10110162	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299067	SAMEA10220519	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298627	SAMN14602682	NA	NA	NA	tongue scraping
MGYG000298993	SAMEA8395107	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298942	SAMEA9921392	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000298530	SAMEA8395186	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298187	SAMEA10110173	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298945	SAMN14570672	human oral	human oral	saliva	saliva
MGYG000298290	SAMN14570986	human oral	human oral	saliva	saliva
MGYG000298156	SAMN14571085	human oral	human oral	saliva	saliva
MGYG000299138	SAMN14602678	NA	NA	NA	tongue scraping
MGYG000298319	SAMEA10110157	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298861	SAMN14570607	human oral	human oral	saliva	saliva
MGYG000299253	SAMN14570795	human oral	human oral	saliva	saliva
MGYG000298072	SAMEA10110195	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298365	SAMEA8395083	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299136	SAMN14571053	human oral	human oral	saliva	saliva
MGYG000298594	SAMEA8395093	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298545	SAMN14570623	human oral	human oral	saliva	saliva
MGYG000298937	SAMN14570642	human oral	human oral	saliva	saliva
MGYG000299015	SAMEA10220483	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298542	SAMEA8395302	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298629	SAMEA8395230	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298466	SAMEA8395178	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298905	SAMEA8395092	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298359	SAMEA10110185	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298388	SAMN14570638	human oral	human oral	saliva	saliva
MGYG000298979	SAMEA10110223	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298482	SAMEA9943423	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298453	SAMEA8395098	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298322	SAMEA10110196	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299103	SAMEA8395135	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298035	SAMEA8395190	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298826	SAMN14570861	human oral	human oral	saliva	saliva
MGYG000298111	SAMEA8395117	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298570	SAMEA9943397	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298902	SAMEA8395263	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298206	SAMEA8395102	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299027	SAMN14570636	human oral	human oral	saliva	saliva
MGYG000298667	SAMEA8395213	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298049	SAMN14570856	human oral	human oral	saliva	saliva
MGYG000298669	SAMEA8395297	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298350	SAMEA8395112	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298381	SAMEA8395122	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298118	SAMN14602648	NA	NA	NA	dental plaque
MGYG000298091	SAMEA10220497	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298040	SAMEA8395131	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298421	SAMN14570803	human oral	human oral	saliva	saliva
MGYG000299083	SAMEA8395086	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298505	SAMEA9943313	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000299052	SAMEA10220485	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
